len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,URL,Label
66,5,1,1,36,7,23,2,7,0,19,11,7,4,0,7,3,0,0,0,0,0,3,9,85,-1,http://mabanque-bnpparibas.net/~ameli/login/amli.fr/free/sm/oo/ve/Port...,1
23,2,0,0,1,0,15,3,0,0,8,4.333333333,0,0,0,7,0,0,0,0,0,0,-1,-1,-1,-1,http://kjstudio.com.au/mnxxzcx,1
60,4,0,0,36,5,21,2,5,0,17,10,10,6,0,3,3,0,0,0,0,0,48,12,65,-1,http://joinalifethailand.com/a0e0d3b8b0/paypal/webapps/mpp/user/...,1
24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,219,20,112,-1,http://www.sanbornscandies.com/,0
29,2,0,1,5,1,15,2,1,0,12,7,3,3,0,9,1,0,0,0,0,0,20,4,1591,-1,http://kamery-orllo.pl/aol/index.htm,1
20,1,0,0,1,0,19,2,0,0,15,9,0,0,0,0,0,0,0,0,0,0,247,5,275,-1,https://midnightrecords.com/,0
15,2,0,1,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,202,14,311,11,http://www.vip-24.com/,0
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,217,35,317,-1,http://www.glenncurtiss.com/,0
66,5,0,2,9,1,37,3,1,0,26,11.66666667,7,7,0,20,3,0,0,0,0,0,19,5,576,98083,http://service-paypal-information.sweddy.com/SERVICE/r4xnyvm03ucsisap3...,1
32,2,0,0,7,1,15,2,1,0,11,7,5,5,0,10,1,0,0,0,0,0,2,9,70,-1,http://dropboxboxx.com/dBoxN/index.html,1
61,5,0,0,8,2,18,3,2,0,10,5.333333333,3,2.5,0,35,3,0,0,0,0,0,9,3,268,-1,http://www.majorfitus.com/Fw/try/2fb38b22347b085296945a637e4fa02f...,1
42,6,1,0,1,0,20,3,0,0,14,6,0,0,0,21,4,0,0,0,0,0,-1,-1,-1,-1,http://fbcancelbock6w.at.ua/confirmation2.html...,1
30,2,0,0,6,1,16,3,1,0,9,4.666666667,4,4,0,8,0,0,0,0,0,0,187,77,245,94105,http://en.wikipedia.org/wiki/Olympics,0
42,5,0,0,1,0,25,3,0,0,16,7.666666667,0,0,0,16,3,0,0,0,0,0,17,7,141,-1,http://mail.fiberglassmeshes.com/listfinancial...,1
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,218,58,58,-1,http://www.goldenmoontea.com/,0
48,5,0,0,16,2,16,2,2,0,12,7.5,8,6.5,0,16,4,0,0,0,0,0,190,14,229,-1,http://ondisplayusa.com/wp-admin/maint/firstweb1.php...,1
26,3,0,0,8,1,18,4,1,0,8,3.75,6,6,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://58.192.78.230:8081/itunes/,1
56,9,1,0,17,3,26,6,3,0,6,3.5,7,4.333333333,0,13,4,0,0,0,0,0,226,14,8,85016,http://hiroba.dqx.jp.imxsl.usa.cc/account/app/svc/login.html...,1
66,6,1,0,15,2,25,3,2,0,17,7.666666667,7,6,0,10,1,0,16,1,0,0,87,9,1,46014,http://www.servivaltecnifrio.com/uslogin/apple/login.html?ekKqb0KzGQWv...,1
66,8,0,1,40,4,15,2,4,0,11,7,11,8.75,0,11,4,0,0,0,0,0,10,2,315,-1,http://kamodi-team.com/wp-includes/css/.user.guild/admin.secu/contact....,1
66,5,0,0,24,1,20,3,1,0,12,6,22,22,0,22,3,0,0,0,0,0,3,9,79,84097,http://www.monfactufree.com/freemobilemoncompte589/73677fc90f6b57e994b...,1
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,199,5,185,-1,http://www.classontheweb.com/,0
42,4,0,0,26,4,13,2,4,0,9,6,7,5.25,0,3,3,0,0,0,0,0,100,8,36,19087,http://chenhouqi.com/u544/source/us54/1netlgn/...,1
66,6,0,0,19,2,29,4,2,0,17,6.5,8,8,0,18,3,0,0,0,0,0,-1,-1,-1,-1,http://cloudserver002545.home.net.pl/phpThumb/document/f07f8790ff4a479...,1
31,2,0,0,1,0,30,3,0,0,22,9.333333333,0,0,0,0,0,0,0,0,0,0,149,7,1956,110001,http://www.educationforallinindia.com/,0
66,5,0,0,17,2,13,2,2,0,9,6,8,7,0,10,1,0,26,1,23,2,177,29,0,357,http://elvisgold.com/mao-se/products/viewer.php?l=_JeHFUq_VJOXK0QWHtoG...,1
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,134,10,1043,57105,http://www.technipages.com/,0
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,208,56,194,-1,http://www.guyduvin.com/,0
28,2,0,0,1,0,27,3,0,0,16,8.333333333,0,0,0,0,0,0,0,0,0,0,113,7,166,-1,http://random.farkimiztarzimiz.com/,1
29,3,0,0,1,0,16,3,0,0,10,4.666666667,0,0,0,12,1,0,0,0,0,0,-1,-1,-1,-1,http://home094538.at.ua/invalid.html,1
17,2,0,0,1,0,16,3,0,0,10,4.666666667,0,0,0,0,0,0,0,0,0,0,166,2,677,-1,http://foxestrust.co.uk/,0
66,4,0,0,36,6,8,2,6,0,5,3.5,6,4.833333333,0,22,3,0,0,0,0,0,-1,-1,-1,-1,http://jotes.pl/xmlrpc/imbot/imbot/imbot/impt/impt/3aa2e87978671569bd0...,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,232,20,213,-1,http://www.marylous.com/,0
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,110,22,108,-1,http://www.aurateas.com/,0
18,1,0,0,1,0,17,2,0,0,13,8,0,0,0,0,0,0,0,0,0,0,162,6,251,30,http://leicestercity.org/,0
66,5,0,0,22,3,17,3,3,0,9,5,9,6,0,27,3,0,0,0,0,0,27,9,73,-1,http://www.tarhobana.com/wp-admin/documents/0/20748548e13332e76eac3809...,1
50,6,0,0,9,1,29,3,1,0,21,9,7,7,0,12,4,0,0,0,0,0,26,10,68,-1,http://www.prioritybookkeepingct.com/capital/index.php...,1
66,5,0,1,18,1,15,2,1,0,11,7,16,16,0,12,1,0,21,2,0,0,144,12,368,-1,http://process-max.com/opasdio89ghh3gfw/cofirmuk.php?personal-uk&amp;a...,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,121,11,25,-1,http://www.tooledge.net/,0
50,5,0,0,16,2,27,3,2,0,20,8.333333333,7,6.5,0,7,3,0,0,0,0,0,-1,-1,-1,-1,http://evangelistaadvogados.com.br/newdrop/deiswe/dpbx...,1
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,241,11,1514,-1,http://www.scentiments.com/,0
52,6,0,0,27,4,10,3,4,0,3,2.666666667,8,5.5,0,15,4,0,0,0,0,0,-1,-1,-1,-1,http://www.ocm.eu/wedit/uploads/prodotti/64/usaaweb1.php...,1
14,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,0,0,0,0,0,0,0,150,18,968,32258,http://www.usada.org/,0
25,3,0,0,1,0,15,3,0,0,6,4.333333333,0,0,0,9,1,0,0,0,0,0,104,16,37,-1,http://domo45.890m.com/logh1.php,1
55,6,0,0,22,4,18,3,4,0,10,5.333333333,6,4.25,0,15,4,0,0,0,0,0,4,8,130,-1,http://www.bartoolscn.com/yekeee/file/files/db/file.dropbox...,1
14,1,0,0,1,0,13,2,0,0,9,6,0,0,0,0,0,0,0,0,0,0,213,27,139,-1,http://technomed.net/,0
59,4,0,0,43,2,13,2,2,0,9,6,32,20,0,3,3,0,0,0,0,0,105,3,286,-1,http://ippnstaff.com/document/f6c79e84aa0bf79e9d79210a9f53ac5e/...,1
28,3,0,1,1,0,20,3,0,0,11,6,0,0,0,7,1,0,0,0,0,0,104,16,37,-1,http://canada-coba.890m.com/log.php,1
28,1,0,0,12,1,16,2,1,0,12,7.5,10,10,0,0,0,0,0,0,0,0,3,9,69,-1,http://kathyhomeyou.com/WellsFargo/,1
12,1,0,0,1,0,11,2,0,0,7,5,0,0,0,0,0,0,0,0,0,0,21,3,280,4913966857,http://elicafe.com/,1
66,8,0,0,24,3,13,2,3,0,9,6,10,6.666666667,0,29,3,0,0,0,0,0,9,3,278,-1,http://crazezone.com/magento/.../PayPa1.C0M/d697c55dd27d23d29fe2114a00...,1
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,207,33,181,-1,https://www.stargreen.com/,0
26,2,0,0,10,1,16,3,1,0,8,4.666666667,8,8,0,0,0,0,0,0,0,0,5,7,8,0,http://www.dimplexx.net/offer002/,1
33,2,0,0,5,1,15,2,1,0,11,7,3,3,0,13,1,0,0,0,0,0,19,5,221,-1,http://omurtakvimi.com/dan/REDIRECT1.htm,1
26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,212,16,663,-1,http://www.coffeespecialties.com/,0
66,7,0,1,20,3,14,2,3,0,10,6.5,8,5.333333333,0,15,2,0,17,1,9,0,41,7,152,-1,http://vega-books.com/language/fr-FR/.as/Alibaba.com.php?userid=abuse@...,1
66,6,0,0,43,3,16,4,3,0,5,3.25,15,13,0,7,3,0,0,0,0,0,162,5,242,-1,http://sonu.uonbi.ac.ke/SONU%20FILES/picturesquality/New%20folder/Well...,1
32,2,0,0,7,1,23,3,1,0,15,7,5,5,0,2,0,0,0,0,0,0,26,10,74,-1,http://www.ashuliaapparels.com/Nyben/ec,1
26,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,9,0,0,0,0,0,0,233,43,354,94025,https://www.facebook.com/UTVaction,0
13,1,0,1,1,0,12,2,0,0,9,5.5,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,76135,http://rare-wine.de/,0
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,188,4,1032,32258,http://www.sexscience.org/,0
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,207,21,1283,-1,http://www.steelandsilver.com/,0
14,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,0,0,0,0,0,0,0,235,5,208,28214,http://www.aatac.com/,0
55,5,1,0,26,2,26,3,2,0,18,8,18,11.5,0,3,3,0,0,0,0,0,27,33,476,-1,http://www.austinhearingcares.com/Mdoc1/Usaa-Acount-Update/...,1
63,5,0,0,9,1,19,3,1,0,11,5.666666667,7,7,0,35,3,0,0,0,0,0,7,5,154,110035,http://web.kiaanevents.com/pagedoc/fea2120b4a8d260c09aefc63bf36941d...,1
15,3,0,0,1,0,14,4,0,0,4,2.75,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.acua.co.nz/,0
34,2,0,0,15,3,10,2,3,0,6,4.5,7,3.666666667,0,9,1,0,0,0,0,0,37,11,23,21330300,http://prodep.org/netease/kl/mo/index.php,1
21,3,0,0,1,0,20,4,0,0,9,4.25,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.maduratea.com.au/,0
26,2,0,0,1,0,25,3,0,0,11,7.666666667,0,0,0,0,0,0,0,0,0,0,197,43,515,94110,http://driftinside.wordpress.com/,0
66,5,0,0,48,5,15,2,5,0,11,7,11,8.4,0,3,3,0,0,0,0,0,27,21,50,0,http://rgbirdgames.com/vrapids.com/wp-content/languages/plugins/usaa1/...,1
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,210,6,926,-1,http://www.gohastings.com/,0
66,8,1,0,20,2,21,2,2,0,17,10,14,8.5,0,9,1,0,10,1,0,0,9,3,263,28290,http://undiadeinnovacion.com/cgi/login.live.com/accts.php?login.srf?wa...,1
31,3,1,0,1,0,21,3,0,0,11,6.333333333,0,0,0,9,1,0,0,0,0,0,90,6,548,-1,http://marfoscover.comuf.com/Login.htm,1
42,5,0,0,11,2,25,3,2,0,17,7.666666667,4,4,0,6,3,0,0,0,0,0,79,5,207,-1,http://www.uniformespromotex.com/mere/mere/pro...,1
31,2,0,1,4,1,19,2,1,0,15,9,2,2,0,8,1,0,0,0,0,0,3,9,100,28954,http://support-devices.com/AU/aus1.php,1
21,2,0,1,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,241,11,762,-1,http://www.ccv-products.com/,0
63,6,1,1,12,2,14,3,2,0,7,4,7,4.5,0,37,4,1,0,0,0,0,-1,-1,-1,-1,http://e-zabor.com.ua/u1/account/USAA%20_%20Welcome%20to%20USAA.htm...,1
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,149,7,256,25130,http://www.marcolympics.org/,0
42,2,0,1,1,0,41,3,0,0,28,13,0,0,0,0,0,0,0,0,0,0,192,11,46,94043,http://ovaismirza-politicalthoughts.blogspot.com/,0
66,4,0,0,11,2,21,2,2,0,11,10,4,4,0,34,3,0,0,0,0,0,30,6,383,39,http://bookkeepers.directory/mama/mama/0af42c585cba168c6ca0b08403443d2...,1
66,8,1,0,36,3,22,3,3,0,14,6.666666667,19,10.66666667,0,8,3,0,0,0,0,0,9,27,276,24126,http://www.atlanticottage.com/~admin2/zone.mobile.free.fr/logine/2296e...,1
49,6,0,1,10,1,27,3,1,0,20,8.333333333,8,8,0,12,4,0,0,0,0,0,-1,-1,-1,-1,http://kus.sollers-distribution.pl/doc20161/index.php...,1
66,6,1,0,12,2,29,4,2,0,18,6.5,6,4.5,0,25,3,0,0,0,0,0,-1,-1,-1,-1,http://www.modafemininabrasil.com.br/can/update/8b6f9ca415170cbd159ddd...,1
51,6,0,0,27,3,12,3,3,0,5,3.333333333,11,7.666666667,0,12,4,0,0,0,0,0,-1,-1,-1,-1,http://deluz.com.ar/wp-includes/images/Gdoccc/index.php...,1
34,2,0,1,15,2,14,3,2,0,6,4,6,6,0,5,0,0,0,0,0,0,71,1,337,-1,http://www.gig-lb.com/PayPal/udpate/index,1
24,2,0,0,6,1,18,3,1,0,10,5.333333333,4,4,0,0,0,0,0,0,0,0,192,36,739,-1,http://www.websearchu.com/2009/,0
15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,98,10,81,-1,http://www.egotea.com/,0
66,5,0,0,21,5,27,3,5,0,19,8.333333333,4,3,0,18,3,0,0,0,0,0,13,11,33,-1,http://www.bjpkaushikmachinery.com/cs2/GDOC/GDOC/GD1/a/028d160463370fb...,1
14,3,0,0,1,0,13,4,0,0,3,2.5,0,0,0,0,0,0,0,0,0,0,229,11,42,-1,http://www.hho.co.uk/,0
66,7,0,1,20,3,14,2,3,0,10,6.5,8,5.333333333,0,15,2,0,17,1,9,0,41,7,151,64202,http://vega-books.com/language/fr-FR/.as/Alibaba.com.php?userid=abuse@...,1
59,2,0,0,38,4,21,3,4,0,13,6.333333333,17,8.25,0,0,0,0,0,0,0,0,119,13,7,-1,http://www.sportmapworld.com/map/soccer/england/fa-premier-league/,0
60,6,0,0,25,2,22,3,2,0,15,6.666666667,11,11,0,13,4,0,0,0,0,0,-1,-1,-1,-1,http://xip7informatica.com.br/wp-includes/ibrowellsup/index.html...,1
55,6,1,0,14,2,21,3,2,0,13,6.333333333,6,5.5,0,20,4,0,0,0,0,0,114,6,223,-1,http://www.avestaexports.com/verify/Gmail/Verification.html...,1
11,2,0,0,1,0,10,3,0,0,3,2.666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.kw.com/,0
43,6,0,0,11,1,23,3,1,0,16,7,9,9,0,9,4,0,0,0,0,0,-1,-1,-1,-1,http://claspeducacional.com.br/custormer/All.DM...,1
16,2,0,0,1,0,15,3,0,0,8,4.333333333,0,0,0,0,0,0,0,0,0,0,-1,4,-1,110003,http://recindia.nic.in/,0
16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,280,56,274,-1,http://www.sunlife.com/,0
66,4,0,0,17,2,16,2,2,0,12,7.5,8,7,0,33,3,0,0,0,0,0,52,8,42,4444000,http://vertebraledu.org/includes/apache/91899c3d4b39833434140f73dbffd0...,1
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,186,6,5670,92018,http://www.execglobalnet.com/,0
27,2,0,0,1,0,26,3,0,0,18,8,0,0,0,0,0,0,0,0,0,0,92,16,47,-1,http://www.friendsofliverpool.com/,0
26,2,0,0,5,1,12,2,1,0,9,5.5,3,3,0,9,1,0,0,0,0,0,89,7,2699,-1,http://borkovitz.pl/aol/index.htm,1
32,2,0,0,1,0,31,3,0,0,20,9.666666667,0,0,0,0,0,0,0,0,0,0,61,11,83,-1,http://njjakxhjaxhjalakljla.3eeweb.com/,1
15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,127,29,373,-1,http://www.geelix.com/,0
66,5,0,1,35,5,14,2,5,0,11,6.5,8,5.8,0,9,1,0,8,1,0,0,53,7,-1,-1,http://forest-camp.ru/wp-admin/network/uxc/Auto/newpage/index.php?;ema...,1
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,174,6,191,400018,http://www.zeecinema.com/,0
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,167,1,329,-1,http://www.jobbound.com/,0
25,3,0,0,10,1,15,4,1,0,4,3,8,8,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.news.com.au/business/,0
60,6,0,0,32,5,16,3,5,0,9,4.666666667,8,5.2,0,12,4,0,0,0,0,0,-1,-1,-1,-1,http://diarplast.com.ar/assets/frontend/onepage/img/nD/index.php...,1
43,5,0,0,15,2,16,2,2,0,12,7.5,7,6,0,12,4,0,0,0,0,0,36,12,10,-1,http://chanderarora.com/hahalas/draft/index.htm...,1
66,6,0,0,34,5,27,4,5,0,16,6,11,5.6,0,5,3,0,0,0,0,0,-1,-1,-1,-1,http://www.airfixcommercial.com.au/wp-admin/maint/Permissions/b/iyk/au...,1
66,9,1,0,1,0,55,7,0,0,15,7,0,0,0,10,3,1,0,0,0,0,184,104,54,205,http://secure1.store.apple.com.nlipdlgtpmg91wx.robstephens.com/sign_in...,1
37,3,0,0,11,2,17,3,2,0,9,5,5,4,0,9,1,0,0,0,0,0,148,8,119,-1,http://www.kotipelto.net/livre/ges/image.htm,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,209,31,145,-1,http://www.ihispano.com/,0
65,4,0,0,43,3,19,2,3,0,15,9,32,13,0,3,3,0,0,0,0,0,43,5,176,-1,http://styleagogotruck.com/pp/988f202e5667413e7d41e057185070c0/index/...,1
14,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,0,0,0,0,0,0,0,169,107,152,19122,http://www.hyphy.org/,0
13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,250,14,7620,32258,http://www.nfpa.com/,0
15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,231,9,88,48265,http://www.saturn.com/,0
46,5,0,0,30,4,13,3,4,0,7,3.666666667,14,6.25,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://ganiinc.co.za/abdominsubommc/drop/wdd/date/...,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,233,55,199,-1,http://www.fineteas.com/,0
19,3,0,0,1,0,18,4,0,0,5,3.75,0,0,0,0,0,0,0,0,0,0,2,10,74,0,http://apple.com.f1li.xyz/,1
34,4,0,0,1,0,33,5,0,0,13,5.8,0,0,0,0,0,0,0,0,0,0,134,10,433,-1,http://www.leicester.vitalfootball.co.uk/,0
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,184,8,144,-1,http://www.resumagic.com/,0
34,3,0,0,6,1,17,3,1,0,9,5,4,4,0,11,1,0,0,0,0,0,204,62,1770,-1,http://www.mathpages.com/home/inumber.htm,0
49,3,0,0,25,3,14,3,3,0,6,4,12,7,0,10,1,1,0,0,0,0,269,7,891,37996,http://www.netlib.org/utk/people/JackDongarra/la-sw.html,0
66,5,0,0,34,1,25,3,1,0,14,7.666666667,32,32,0,7,3,0,0,0,0,0,2,10,73,-1,http://recont.sovancobellara.com/5785c3592e91b6ae9304be50914c66b5/7f41...,1
57,4,0,1,34,5,20,2,5,0,16,9.5,10,5.6,0,3,3,0,0,0,0,0,8,4,238,-1,http://code-application.com/silver/BDBB%20(2)/BDBB/BDBB/dpbx/...,1
66,5,0,0,33,4,22,2,4,0,18,10.5,10,7,0,11,4,0,0,0,0,0,108,12,139,-1,http://salmonriverbrewery.com/blog/wp-content/upLoads/webmail/index.ph...,1
97,3,0,0,28,4,25,3,4,0,17,7.666666667,15,5.75,0,44,1,5,0,0,0,0,123,9,98,345,http://www.oldfootballshirts.com/en/teams/m/manchester-city/old-manchester-city-football-shirts-t11.html,0
42,6,1,1,1,0,21,3,0,0,15,6.333333333,0,0,0,20,4,1,0,0,0,0,-1,-1,-1,-1,http://settings-policy.at.ua/confirm-page.html...,1
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,202,38,167,-1,http://www.awesomestories.com/,0
34,4,0,0,17,2,17,5,2,0,3,2.6,8,7,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.hgu.mrc.ac.uk/Softdata/Mustar/,0
17,1,0,0,1,0,16,2,0,0,12,7.5,0,0,0,0,0,0,0,0,0,0,206,70,24,-1,http://delhiairport.com/,0
66,6,1,0,32,1,23,3,1,0,15,7,30,30,0,11,3,0,0,0,0,0,10,2,290,-1,http://www.copsonmigration.com/cardactivityconfirmation.chase/personal...,1
66,5,0,1,31,2,28,3,2,0,20,8.666666667,20,14,0,7,3,0,0,0,0,0,2,10,69,-1,http://www.bchile-perfilamiento.com/Personal/bchile-perfilamiento/Proc...,1
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,253,23,455,-1,http://www.cdexpress.com/,0
28,2,0,0,10,1,18,3,1,0,10,5.333333333,8,8,0,0,0,0,0,0,0,0,62,10,67,-1,http://www.fsmsigorta.com/donfrosh/,1
45,3,0,1,10,1,14,3,1,0,7,4,8,8,0,8,1,0,13,1,9,0,-1,-1,-1,14167,http://www.harry-b.de/dokuwiki/doku.php?id=harry:cpm,0
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,166,26,124,-1,http://www.tpowerhk.com/,0
42,5,0,0,11,2,17,2,2,0,13,8,4,4,0,14,4,0,0,0,0,0,28,8,108,-1,http://gripvaninavan.com/yaho/byte/default.php...,1
15,1,0,0,1,0,14,2,0,0,10,6.5,0,0,0,0,0,0,0,0,0,0,32,4,247,19087,http://dvdhotspot.com/,0
31,2,0,0,9,1,12,2,1,0,8,5.5,7,7,0,10,1,0,0,0,0,0,24,24,12,-1,http://kusifood.com/cgi-bin/Config.php,1
23,2,0,0,9,1,14,3,1,0,6,4,7,7,0,0,0,0,0,0,0,0,278,70,655,10011,http://www.forbes.com/200best/,0
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,114,6,487,-1,http://www.idyemyhair.com/,0
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,207,9,103,-1,http://www.goodwitchsbrew.com/,0
38,4,0,0,19,2,19,5,2,0,4,3,9,8,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.dept.aoe.vt.edu/~devenpor/aoe5104/,0
13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,187,5,192,20036,http://www.fpif.org/,0
14,2,0,0,1,0,13,3,0,0,6,3.666666667,0,0,0,0,0,0,0,0,0,0,-1,30,-1,110035,http://www.dishtv.in/,0
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,199,5,251,15213,http://www.cyberiapc.com/,0
31,4,1,0,1,0,30,5,0,0,9,5.2,0,0,0,0,0,0,0,0,0,0,226,14,8,85016,http://secure.square.loginxdqx.usa.cc/,1
66,5,0,0,37,3,20,2,3,0,16,9.5,12,11,0,9,4,0,0,0,0,0,53,66,474,-1,http://socialstrawberry.com/wp-includes/theme-compat/wellsfargo/index....,1
20,3,0,0,1,0,19,4,0,0,9,4,0,0,0,0,0,0,0,0,0,0,172,20,144,-1,http://www.soccerbid.co.uk/,0
29,2,0,0,6,1,14,2,1,0,11,6.5,4,4,0,9,1,0,0,0,0,0,-1,-1,-1,-1,http://toriabeauty.ro/minn/index.php,1
30,3,0,1,5,1,18,3,1,0,11,5.333333333,3,3,0,7,1,0,0,0,0,0,-1,-1,-1,-1,http://warning-app.web.id/CNA/log.php,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,172,8,126,-1,http://www.teahaven.com/,0
24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,173,19,503,-1,http://www.bakedjustforyou.com/,0
